"Variable","PC1","PC2","PC3","PC4","PC5"
"ph",-0.316508128997649,-0.551853047493761,-0.0850528320040052,-0.00541418993360492,0.196849871783352
"Hardness",0.00956610321405948,-0.626565817368532,0.368973716509487,-0.206973173709189,0.0404792089762575
"Solids",0.669057824468714,0.0560866091007498,-0.188434915492099,0.0800085883378286,-0.199111783802189
"Chloramines",-0.252797402158394,0.321509010680355,0.362114788247367,0.177497567921855,0.0570343468775959
"Sulfate",-0.586271480078724,0.309185015471634,-0.256689526863529,-0.115948872213579,-0.0599699968371413
"Conductivity",0.0786656181188162,-0.0561243642688931,-0.491474300067527,0.185672198644237,0.710778420170436
"Organic_carbon",-0.108435280861115,-0.199101789129024,-0.558153083650943,0.119404197085776,-0.322902950738229
"Trihalomethanes",0.00973350850285253,0.00309257367559736,0.255475856800486,0.762109651838077,0.232765306314294
"Turbidity",0.162575261881833,0.240755756535484,0.0758307063400908,-0.525584665931839,0.499464489155357
